category,4050,after-finish,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,couple,dog,event,evil-omen,fashionshow,first-birthday,food,good-omen,group,kids,landscape,location,lookbook,model-and-actor,model-works,musician,panorama,person,portrait-strong,product,profile-1,review,seminude,street,tour,uniform,video-club,video-entertainment,video-excercise,video-fashion,video-music,video-sketch,video-wedding,wedding,withyou,zoo
location,0.0036319417960780534,0.009601004228587577,0.0029272946017706806,0.0022186354498916388,0.0055346604513670525,0.003114321789712264,0.10785774184368449,0.002600619851884815,0.011280625896975906,0.0015229059941621538,0.001502673646657451,0.01346566918458247,0.0015267909647454947,0.0020038659875572695,0.0021118187085054584,0.0014630569334576988,0.0022364756825482162,0.0017041097363113232,0.008024712390956376,0.003918575349101284,0.001995719655390469,0.0,0.008422591340352278,0.00733853725053564,0.0015676316962471547,0.0036518678784320194,0.0031598872845220874,0.008943879490710231,0.0019410457453549728,0.005439995064790148,0.0014498377998503477,0.005747448465356092,0.009479928017716044,0.00318912308492506,0.0014660905762498922,0.003921569752718811,0.02705305762900255,0.00465425205625402,0.002554703659434258,0.0037607884378902823,0.0026835795095423312,0.006310745896280242,0.004860441411761595,0.002307847917980734,0.014481649927321547,0.0017516265676261766
lookbook,0.008944826587795891,0.01264510381052608,0.00864821523118305,0.008359198212074637,0.009853727634675333,0.00810535402700526,0.10810661150761218,0.008630329761697525,0.011972318252827043,0.008368907386790685,0.008279356234505946,0.015781115764426753,0.008369615214073652,0.008331662003620463,0.008402345825785211,0.008288474011587664,0.008145850199693567,0.008285212430496135,0.011403595052387548,0.009017054775331814,0.008105083328458032,0.008422591340352278,0.0,0.010722554887292093,0.008377161650386327,0.008738689447369788,0.008022312821930161,0.011411518347411715,0.008242125446457787,0.009356403040758675,0.00835591992706366,0.010037556079223107,0.012057446617932588,0.008191236887284086,0.008243383155316178,0.007833366855937277,0.028093135451309755,0.008807774407621049,0.008600088800575747,0.008751263991076771,0.00845558395891909,0.009512607973565675,0.008335216353367215,0.008100879573179133,0.016656456790059428,0.008413534561291021
model-and-actor,0.007748931167975729,0.011944395506277945,0.007684943428457492,0.0074146624353500995,0.008996342315697882,0.007204453375964784,0.10790374979763385,0.007566539858287514,0.012931388694186183,0.007242178930627825,0.007264366859358216,0.015097624668715736,0.00726776392455511,0.007353120426250065,0.006992478871701455,0.007254642472484421,0.007449236557639027,0.007307071356325137,0.009149441525880929,0.0080640559533203,0.007340689586051282,0.00733853725053564,0.010722554887292093,0.0,0.007276453184630199,0.007466694990697241,0.007776515251957049,0.009612033159172145,0.007365932418818195,0.00862312574870428,0.007251988103886487,0.009139062625617592,0.011386436748559247,0.00771405238430195,0.007255254881174401,0.00802771938459679,0.02797064941847381,0.00849419590168375,0.007550881577707534,0.00800400701554411,0.007604027131052319,0.009503410734070907,0.008608901935218178,0.007396463845483571,0.01508687128832671,0.007318298808155491
model-works,0.0034114407672801257,0.00950971433348628,0.0026123625691533738,0.0018606663747262134,0.0053747419304636754,0.0029190945918095342,0.10785556774204809,0.002240225015746241,0.01121580275280701,0.0007580416704989674,0.0007328769074432428,0.013400732483553716,0.0007658166602956129,0.001581739255133162,0.0016477750953183842,0.000629221819151635,0.0018047736660831899,0.0010767425414410332,0.007973798350105385,0.0037460906733725596,0.0014960887173124792,0.0015676316962471547,0.008377161650386327,0.007276453184630199,0.0,0.003448144101809967,0.002870587423863314,0.00888990054656144,0.0014223371937478432,0.005277208619345933,0.0005978412440044131,0.005593616752073916,0.009461632085380615,0.0029027384584147053,0.0006362437307562164,0.0036924373837069896,0.027020794059118447,0.004462896672599828,0.002186754511755866,0.0035212091931220275,0.002363749416478274,0.006170972230902985,0.004677528751843745,0.0020174924578151778,0.014421288747010442,0.001150469530049235
musician,0.004612004455663863,0.010080253509169532,0.004242791804616849,0.003665024401444409,0.006309357227637088,0.003730699172182318,0.10784736640735275,0.004024357368050895,0.011568209081409306,0.003428041901555923,0.0033772629611512144,0.013752789736068265,0.0034297695639498305,0.0036851065092333474,0.003727198260001981,0.0034018765707042897,0.003799217299707618,0.0034727173321639285,0.008619297162131657,0.004895104891406099,0.0036162768201475314,0.0036518678784320194,0.008738689447369788,0.007466694990697241,0.003448144101809967,0.0,0.004406485704351315,0.008747672156985629,0.0036331649009271206,0.006216959770596587,0.0033962123398932273,0.006516547588538906,0.009742663126501608,0.004427497562119042,0.0034031823620747793,0.004906431685703073,0.027226827866828358,0.005576225498929621,0.003994839095545016,0.004794714082106569,0.00409295827312449,0.007018386023808184,0.005749445132265825,0.0037399578071292076,0.01480372970670771,0.0035355939026112705
panorama,0.004377824416815555,0.009897579765797294,0.003788384445712876,0.003278052301439381,0.0060025992053582096,0.004006061875675077,0.10788998206022757,0.0032312590418229585,0.01154649946545181,0.0028464092625654705,0.0028398110988707,0.013678707892618271,0.002848489717901746,0.003077736568857409,0.0032004032996728942,0.0028148425557217465,0.003283995508765656,0.00285683958910269,0.008306857829668854,0.0046433408068905,0.0031250119945170356,0.0031598872845220874,0.008022312821930161,0.007776515251957049,0.002870587423863314,0.004406485704351315,0.0,0.009246905126730234,0.0030475943495286697,0.00590649072617023,0.0028079944210839137,0.006230246133571898,0.009849386120887501,0.003994159370100976,0.0027070237289476633,0.004600164382758789,0.02715078199240649,0.005238784708890819,0.003508463169322186,0.004463892101914283,0.0036214264896180094,0.006753392983558813,0.005422793905371154,0.0034055387728150694,0.01467995189503207,0.002975062798560284
person,0.00906432025732908,0.012990463609511062,0.009113759959674112,0.008988284793738744,0.010250978747832947,0.00823426749148899,0.1078128961629422,0.009092230190251478,0.014160954462376129,0.00880396732044665,0.008824242445248503,0.015517312145291786,0.008882789721855579,0.008943051513081555,0.008830170548492115,0.008831232712471807,0.0090307773437847,0.00891497911304708,0.011302653591681974,0.009466351709499667,0.008782240211278578,0.008943879490710231,0.011411518347411715,0.009612033159172145,0.00888990054656144,0.008747672156985629,0.009246905126730234,0.0,0.008963287409105842,0.010245667959921113,0.008869886822195059,0.010469289682428258,0.011601402713347204,0.008823682984637465,0.008858971451772285,0.009550758973702516,0.028413432209848294,0.009473636805524705,0.009115885770466929,0.009462739664223634,0.009159955752590631,0.010538963232584998,0.00930512737887901,0.008631049911725914,0.016698285598479055,0.00889159755383637
portrait-strong,0.003598349282538137,0.009578353520046975,0.00278203071108381,0.002011120381171971,0.005385202564187561,0.0031354908206552897,0.1078457402558821,0.002515710152552785,0.011274059643285343,0.0013728862388030466,0.0013591534173688718,0.013388312075859317,0.001377194469807455,0.0015383870120840406,0.0020063280427770084,0.0013061812845766869,0.002038790661116523,0.001169065525359663,0.008055535337805009,0.0039170632856274845,0.0018837385435754108,0.0019410457453549728,0.008242125446457787,0.007365932418818195,0.0014223371937478432,0.0036331649009271206,0.0030475943495286697,0.008963287409105842,0.0,0.005399918542217181,0.0012913572718324913,0.005709530437747386,0.00949688924991705,0.003120269220506732,0.0013095783807808145,0.003865783657045338,0.026988382169017874,0.004607345891159522,0.0024481322582166672,0.0034827248770295995,0.0023797764309519544,0.005982250933996048,0.004815544068410838,0.0023195829943813257,0.014466642961486675,0.0016228892722714074
product,0.006226877650839404,0.01084300437491274,0.005808558600353285,0.005511174543725091,0.0074505379264473365,0.005889955839686494,0.10796785540906517,0.005670510143808728,0.011347003979129834,0.0052640957764914665,0.0052605309362578605,0.014257899279299392,0.005265221014074221,0.005435909893365663,0.005450058728807028,0.005247094173688798,0.005430730931437015,0.005269742981580906,0.009459669501032572,0.0063439049355315325,0.005366354142422056,0.005439995064790148,0.009356403040758675,0.00862312574870428,0.005277208619345933,0.006216959770596587,0.00590649072617023,0.010245667959921113,0.005399918542217181,0.0,0.005243423626114447,0.0076436002995279905,0.010774912607231221,0.005834845834057588,0.005247940858545285,0.006052051411662476,0.027518346402993644,0.006776143262558193,0.005461934406528324,0.006096342736173654,0.005720436038779196,0.008002751097595472,0.007001096513703216,0.005557025594275537,0.013721965660024106,0.0053139904930848535
profile-1,0.003358941592147291,0.009491007702836961,0.00254342263564469,0.001762566273600217,0.005341573862625187,0.0028575643031658686,0.10785391997266636,0.002159437109982926,0.011199946066864317,0.0004681748444855095,0.0004262265503927898,0.013387463972185619,0.00048066169806059247,0.001465080059937127,0.0015361390807956407,0.00020119793361925682,0.0017034578059299042,0.0008966242308487212,0.007951479147865478,0.003698345014182025,0.001372166885209618,0.0014498377998503477,0.00835591992706366,0.007251988103886487,0.0005978412440044131,0.0033962123398932273,0.0028079944210839137,0.008869886822195059,0.0012913572718324913,0.005243423626114447,0.0,0.005561754118969852,0.009442830202322823,0.0028408539330201303,0.00022218594852680204,0.0036439887957282584,0.027014216111079126,0.004422895795867091,0.0021039144007018924,0.0034703709733288233,0.0022873285323052185,0.006142105403310166,0.004639378809185672,0.0019273910677745948,0.014408960046979316,0.0009839413856362958
